key,name,iataCode,operationalScope,city,country,website,email,phoneNumber
# base entity
airport-01,"Lorem ipsum dolor sit ame","TJV","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
# name - standard variations
airport-02,"L","ABC","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-03,"Lo","XYZ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-04,"Lorem ipsum dolor sit amet, consectetur adipiscin","VQU","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-05,"Lorem ipsum dolor sit amet, consectetur adipiscing","SNF","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-06,"โลเร็ม อิปซัม","DVM","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-07,"لوريم إيبسوم","OLO","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-08,"洛伦·伊普森","HZO","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-09,"<marquee>Hacked</marquee>","YOH","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-10,"<script>alert(‘Hacked!’);</script>","NYA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-11,"' or 'A' = 'A ","TAV","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
# code - standard variations
airport-12,"Lorem ipsum dolor sit ame","AAA","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-13,"Lorem ipsum dolor sit ame","AAB","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-14,"Lorem ipsum dolor sit ame","ZZY","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-15,"Lorem ipsum dolor sit ame","ZZZ","INTERNATIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
# operationalScope - standard variations
airport-16,"Lorem ipsum dolor sit ame","XUX","DOMESTIC","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-17,"Lorem ipsum dolor sit ame","QRT","REGIONAL","Lorem ipsum dolor sit ame","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
# city - standard variations
airport-18,"Lorem ipsum dolor sit ame","ZCD","INTERNATIONAL","L","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-19,"Lorem ipsum dolor sit ame","CQI","INTERNATIONAL","Lo","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-20,"Lorem ipsum dolor sit ame","YUE","INTERNATIONAL","Lorem ipsum dolor sit amet, consectetur adipiscin","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-21,"Lorem ipsum dolor sit ame","ARD","INTERNATIONAL","Lorem ipsum dolor sit amet, consectetur adipiscing","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-22,"Lorem ipsum dolor sit ame","DSS","INTERNATIONAL","โลเร็ม อิปซัม","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-23,"Lorem ipsum dolor sit ame","LRD","INTERNATIONAL","لوريم إيبسوم","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-24,"Lorem ipsum dolor sit ame","PBJ","INTERNATIONAL","洛伦·伊普森","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
airport-25,"Lorem ipsum dolor sit ame","IEH","INTERNATIONAL","<marquee>Hacked</marquee>","Lorem ipsum dolor sit ame","http://lorem.com/ipsum","acme@lorem-ipsum.org","34866785814"
